Year,Trail Name,Trail Length  (km),Trail Area (m2),Condition Index
2014,Bennett Brook,7.178921838,11837.54522,74.57216477
2014,Black Hole,5.569117034,15915.86996,49.34836595
2014,Black Horse,4.309909946,5602.88293,100
2014,Black Ski Trail,0.289323131,1099.427897,0
2014,Broad River,1.619123526,980.564684,0
2014,Campfire,0.193373479,470.476607,28.07909274
2014,Caribou plain decommission E,0.53453346,768.605067,0
2014,Caribou plain decommission W,0.571808642,514.627778,0
2014,Caribou plains,2.221037096,3835.964485,89.90912375
2014,Coastal,8.657590364,11410.08764,37.2149083
2014,Coppermine,3.721310719,7076.292726,32.12665768
2014,Devil's half acre,2.717509386,10996.35732,0
2014,Dickson falls,1.463866657,2056.850132,46.64325931
2014,Dobson link,2.371579649,2608.737614,50
2014,East branch,4.92578694,7216.196615,53.55926893
2014,Foster brook,4.660755903,6023.317461,71.80578787
2014,Goose river,8.035251218,22568.75581,18.48148677
2014,Goose river connection,1.715167207,1200.617045,100
2014,Herring cove beach,0.125104047,162.635261,100
2014,Kinnie Brook,1.516848758,2275.273137,100
2014,Laverty falls,2.642554345,7508.098305,20.27535127
2014,Maclaren pond,0.483227273,702.986802,83.84830678
2014,Maple grove,3.853849045,10916.64738,38.08002093
2014,Marven lake,7.412001134,18341.2251,54.3841801
2014,Matthews head,2.345301999,3966.418511,68.57511355
2014,Moosehorn,3.954256952,8490.619979,40.59782315
2014,Point Wolfe beach,0.346651084,485.311518,13.87007828
2014,Point Wolfe beach reroute,0.404748705,1052.346591,50
2014,Red ski trail,0.863526922,3022.344225,0
2014,Shady maples,0.476858555,0,
2014,Shiphaven,0.541691651,90.766333,92.03170088
2014,South Chignecto,7.664075234,0,4.362185001
2014,The Forks,3.241614706,4833.592317,89.29204924
2014,Third vault falls,3.769250078,5812.687615,76.23143846
2014,Tippenlot north,2.329226979,3210.549061,70.62799682
2014,Tippenlot south,1.650839034,2145.839424,98.88195281
2014,Tracey lake,6.802048653,10004.69937,10.74758653
2014,Upper salmon river,7.901719457,10600.04478,58.97739596
2014,White tail trail new,5.1205894,7344.494012,49.85503141
2014,White tail trail new,5.1205894,7344.494012,49.85503141
